text,date,phase,source,cleaned_text
Click here to subscribe to our channel 👉🏽 https://bbc.in/3VyyriM,2024-11-23T13:20:26Z,before,youtube,click here to subscribe to our channel
You are so cool speaking,2026-02-09T14:38:40Z,after,youtube,you are so cool speaking
Amazing,2026-02-08T03:00:28Z,after,youtube,amazing
"wow，this is the first time i see Neil!😊i usually listen to the video from 6 minutes English, i really like Neil and Beth, their accent and vibe make me feel comfortable and more motivated to learn ielts. thanks for you guys♥",2026-02-02T11:09:26Z,after,youtube,wowthis is the first time i see neili usually listen to the video from minutes english i really like neil and beth their accent and vibe make me feel comfortable and more motivated to learn ielts thanks for you guys
"青少年健全育成条例を、遵守する事です。

懲罰自虐踊り動画は、禁止です。

空想中傷侮辱動画は、禁止です。

知ったかぶり動画は、禁止です。",2026-01-28T16:15:36Z,after,youtube,青少年健全育成条例を遵守する事です 懲罰自虐踊り動画は禁止です 空想中傷侮辱動画は禁止です 知ったかぶり動画は禁止です
Where is americans .no reaction,2026-01-27T13:34:35Z,after,youtube,where is americans no reaction
"Thank you, I got a new insight about linguicide",2026-01-20T06:23:40Z,after,youtube,thank you i got a new insight about linguicide
Lowkey more interesting than I expected.,2026-01-16T08:35:23Z,after,youtube,lowkey more interesting than i expected
67 this is funny.,2026-01-16T08:22:59Z,after,youtube,this is funny
Lucy is very beautiful ❤️.,2026-01-15T22:57:34Z,after,youtube,lucy is very beautiful
isn't a rizzler something to do with a roll-up cigarette?,2026-01-15T10:43:51Z,after,youtube,isnt a rizzler something to do with a rollup cigarette
"Haha, this is the first time I've seen a real one Neil",2026-01-13T01:44:43Z,after,youtube,haha this is the first time ive seen a real one neil
"I speak English as a second language using proper grammar and pronunciation.
My English friends and family appreciate it and ,when taking to  a  younger crowd see attention and respect.",2026-01-12T14:55:52Z,after,youtube,i speak english as a second language using proper grammar and pronunciation my english friends and family appreciate it and when taking to a younger crowd see attention and respect
I wanna to watch far more videos but limitation of time,2026-01-08T18:57:52Z,after,youtube,i wanna to watch far more videos but limitation of time
Wait till they are all grown up and realize what they did to themselfs😂,2026-01-06T15:24:42Z,after,youtube,wait till they are all grown up and realize what they did to themselfs
some word  expression   amercian  and   king  dome   english  differ,2026-01-03T16:11:18Z,after,youtube,some word expression amercian and king dome english differ
