text,date,phase,source
Click here to subscribe to our channel 👉🏽 https://bbc.in/3VyyriM,2024-11-23T13:20:26Z,before,youtube
You are so cool speaking,2026-02-09T14:38:40Z,after,youtube
Amazing,2026-02-08T03:00:28Z,after,youtube
"wow，this is the first time i see Neil!😊i usually listen to the video from 6 minutes English, i really like Neil and Beth, their accent and vibe make me feel comfortable and more motivated to learn ielts. thanks for you guys♥",2026-02-02T11:09:26Z,after,youtube
"青少年健全育成条例を、遵守する事です。

懲罰自虐踊り動画は、禁止です。

空想中傷侮辱動画は、禁止です。

知ったかぶり動画は、禁止です。",2026-01-28T16:15:36Z,after,youtube
Where is americans .no reaction,2026-01-27T13:34:35Z,after,youtube
"Thank you, I got a new insight about linguicide",2026-01-20T06:23:40Z,after,youtube
Lowkey more interesting than I expected.,2026-01-16T08:35:23Z,after,youtube
67 this is funny.,2026-01-16T08:22:59Z,after,youtube
Lucy is very beautiful ❤️.,2026-01-15T22:57:34Z,after,youtube
isn't a rizzler something to do with a roll-up cigarette?,2026-01-15T10:43:51Z,after,youtube
😅😅,2026-01-14T10:26:27Z,after,youtube
"Haha, this is the first time I've seen a real one Neil",2026-01-13T01:44:43Z,after,youtube
"I speak English as a second language using proper grammar and pronunciation.
My English friends and family appreciate it and ,when taking to  a  younger crowd see attention and respect.",2026-01-12T14:55:52Z,after,youtube
I wanna to watch far more videos but limitation of time,2026-01-08T18:57:52Z,after,youtube
Wait till they are all grown up and realize what they did to themselfs😂,2026-01-06T15:24:42Z,after,youtube
some word  expression   amercian  and   king  dome   english  differ,2026-01-03T16:11:18Z,after,youtube
I thought the most obvious noun to verb drift is 'to medal'.,2026-01-03T12:48:34Z,after,youtube
"""skibidi rizzler"" lol wut",2025-12-17T13:39:23Z,after,youtube
"I dont understand why should we follow the degredation of culture and moral. They need to be educated not to be followed 
the older generation has responsibly NOT BECAME A PART OF THE FALL",2025-12-15T05:15:24Z,after,youtube
"Any living language changes over the time.
Only ""dead"" languages with like Latin stay stable.
Because their use is scholary and ritualized.
But any living language reflects changes in life and culture.",2025-12-13T08:43:19Z,after,youtube
"Doctrine Juggut  -------------------------  EU always try to ""Box"" UK with Language Boxing,",2025-12-12T05:13:26Z,after,youtube
