Sentence,Source,Published_Date
The quiet reason why Trump is losing Gen Z - vox.,https://news.google.com/rss/articles/CBMihAFBVV95cUxNNmxJVFo0ZHVGbnB4eC1Fc2JTMGpvOXVINThKOWxSVy1zdzlGcEZXYjhJVDd5aFVtbjVhMm9XbWtnbFluVENzVjJfQ0hMOXlSQlE5VmViZjIwVEM0UWVxampHSUpJVWJsLVc3eUVBbjJrVnF6Mm1jTW9fQTMxRHpuNmkwRm0?oc=5,2026-02-03
The quiet reason why Trump is losing Gen Z vox.,https://news.google.com/rss/articles/CBMihAFBVV95cUxNNmxJVFo0ZHVGbnB4eC1Fc2JTMGpvOXVINThKOWxSVy1zdzlGcEZXYjhJVDd5aFVtbjVhMm9XbWtnbFluVENzVjJfQ0hMOXlSQlE5VmViZjIwVEM0UWVxampHSUpJVWJsLVc3eUVBbjJrVnF6Mm1jTW9fQTMxRHpuNmkwRm0?oc=5,2026-02-03
"Boss asks Gen Z employee to come to office for online meeting, reply goes viral - India Today.",https://news.google.com/rss/articles/CBMi4AFBVV95cUxOSkhpY2xLaGUyNTI2QWFyRlNBTlB5RDJ4bW5KMFduRzZTNnpWUXVKWlJmUGNxUjRDTllvUFdfVElWZnVhbkZvNnN4d1o3RkVkc0R3NzhoaFdEYl9CLUxUeW1LRk15UzFfUmF3Vl9WWEpySUh6RkQtTkZmcHlZUEtmcGt1WmI0OGtZNkwwaWc3RUoxdzY4aFBnMVBvWmNkcE9Iamhkb21pT3l1N3lVM29mQm5OYzNXMzBFM1NMdTE4MVVSN0VTMTVjUkNFUDhLSnZZS21Ucy1NS1Q4Mm4yZV9ZTdIB5gFBVV95cUxOZngxN1RlVnh2MTZOZTktSWVqcy1HMko3MEM2ckFwWGdGSkFneE53SFZOSWpXb1Yxd19Rby1zR010Vm0zWTF4TERjeHl2bHBHLWJRYlRVMDJiRjBmSDlVWGYwbnNHbXVYMFQtajBVZzdjMVNnOXFyOUxHMUpUV1lhelA5alAtMkNkS2lYXzFadVctd2NhOEViS2lzUEJQLUE3SjFOMUZ4MXhJWWNvSzdwbklWSDgtMGRnZUFpWmxuc00wSXVBSGp2TUJFUENIbEdPZDNxYnpmWVV3M0dLWG9zZjE4N2NZdw?oc=5,2026-02-03
"Boss asks Gen Z employee to come to office for online meeting, reply goes viral India Today.",https://news.google.com/rss/articles/CBMi4AFBVV95cUxOSkhpY2xLaGUyNTI2QWFyRlNBTlB5RDJ4bW5KMFduRzZTNnpWUXVKWlJmUGNxUjRDTllvUFdfVElWZnVhbkZvNnN4d1o3RkVkc0R3NzhoaFdEYl9CLUxUeW1LRk15UzFfUmF3Vl9WWEpySUh6RkQtTkZmcHlZUEtmcGt1WmI0OGtZNkwwaWc3RUoxdzY4aFBnMVBvWmNkcE9Iamhkb21pT3l1N3lVM29mQm5OYzNXMzBFM1NMdTE4MVVSN0VTMTVjUkNFUDhLSnZZS21Ucy1NS1Q4Mm4yZV9ZTdIB5gFBVV95cUxOZngxN1RlVnh2MTZOZTktSWVqcy1HMko3MEM2ckFwWGdGSkFneE53SFZOSWpXb1Yxd19Rby1zR010Vm0zWTF4TERjeHl2bHBHLWJRYlRVMDJiRjBmSDlVWGYwbnNHbXVYMFQtajBVZzdjMVNnOXFyOUxHMUpUV1lhelA5alAtMkNkS2lYXzFadVctd2NhOEViS2lzUEJQLUE3SjFOMUZ4MXhJWWNvSzdwbklWSDgtMGRnZUFpWmxuc00wSXVBSGp2TUJFUENIbEdPZDNxYnpmWVV3M0dLWG9zZjE4N2NZdw?oc=5,2026-02-03
‘6:30 AM In Office Or Else.,https://news.google.com/rss/articles/CBMivwFBVV95cUxQMENKWXo5S2xLaWRaMndFYzlSWGowNEZlUU9ic240NVY3T044VEVidzdBNTBhc0JySVU0UjZ2VE56V05FTkdBVzYwQTR6UHRUdF81OGMxakJmdFBZa1B6WTZlVHlZUWg4d1BhbGI1bUIxRmxlMzlkQTQ1MndPTjJoVnJQUFJoeTBBV1Q5VXBhWFNUOXlSUVJsUHNOeVdtbXRldnRLeFVHUzlCYU5jM2NEUTB4NGxnOURLS1VjRjlCb9IBxAFBVV95cUxPNXUxXzBVNUVSaGZkdlE5cDNpS01FMURrX0VQR1NKUjE3R185RWd0Qnc4ZGRmZDFQUGp4Z01Ud1dzNnpmYlhOZkxhZkNpQkt4bXdzdDVFMk5iamZMbGlqNFd4MXJVRHg0SjNfTkpqRWkwaWlGS2wtaURlb09CZGRrNVlzeXNNYzJfYnR2VWUtUWEtRC1MaEZVdVRrLUwxcnZsUHJVbWgtVlFoNjNVYjgtaUNCSTRXcXZWQmJhTGVVNjg0RXJB?oc=5,2026-02-03
"’: Gen Z’s Savage Reply To Boss Wins Big, Internet Hails His ‘Work From Anywhe - News18.",https://news.google.com/rss/articles/CBMivwFBVV95cUxQMENKWXo5S2xLaWRaMndFYzlSWGowNEZlUU9ic240NVY3T044VEVidzdBNTBhc0JySVU0UjZ2VE56V05FTkdBVzYwQTR6UHRUdF81OGMxakJmdFBZa1B6WTZlVHlZUWg4d1BhbGI1bUIxRmxlMzlkQTQ1MndPTjJoVnJQUFJoeTBBV1Q5VXBhWFNUOXlSUVJsUHNOeVdtbXRldnRLeFVHUzlCYU5jM2NEUTB4NGxnOURLS1VjRjlCb9IBxAFBVV95cUxPNXUxXzBVNUVSaGZkdlE5cDNpS01FMURrX0VQR1NKUjE3R185RWd0Qnc4ZGRmZDFQUGp4Z01Ud1dzNnpmYlhOZkxhZkNpQkt4bXdzdDVFMk5iamZMbGlqNFd4MXJVRHg0SjNfTkpqRWkwaWlGS2wtaURlb09CZGRrNVlzeXNNYzJfYnR2VWUtUWEtRC1MaEZVdVRrLUwxcnZsUHJVbWgtVlFoNjNVYjgtaUNCSTRXcXZWQmJhTGVVNjg0RXJB?oc=5,2026-02-03
"’: Gen Z’s Savage Reply To Boss Wins Big, Internet Hails His ‘Work From Anywhe News18.",https://news.google.com/rss/articles/CBMivwFBVV95cUxQMENKWXo5S2xLaWRaMndFYzlSWGowNEZlUU9ic240NVY3T044VEVidzdBNTBhc0JySVU0UjZ2VE56V05FTkdBVzYwQTR6UHRUdF81OGMxakJmdFBZa1B6WTZlVHlZUWg4d1BhbGI1bUIxRmxlMzlkQTQ1MndPTjJoVnJQUFJoeTBBV1Q5VXBhWFNUOXlSUVJsUHNOeVdtbXRldnRLeFVHUzlCYU5jM2NEUTB4NGxnOURLS1VjRjlCb9IBxAFBVV95cUxPNXUxXzBVNUVSaGZkdlE5cDNpS01FMURrX0VQR1NKUjE3R185RWd0Qnc4ZGRmZDFQUGp4Z01Ud1dzNnpmYlhOZkxhZkNpQkt4bXdzdDVFMk5iamZMbGlqNFd4MXJVRHg0SjNfTkpqRWkwaWlGS2wtaURlb09CZGRrNVlzeXNNYzJfYnR2VWUtUWEtRC1MaEZVdVRrLUwxcnZsUHJVbWgtVlFoNjNVYjgtaUNCSTRXcXZWQmJhTGVVNjg0RXJB?oc=5,2026-02-03
Gen Z vs toxic boss: WhatsApp chat over 6:30 am office demand for virtual meeting goes viral - Moneycontrol.,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPc2luVXJLbktHRzU0MHNjLVlhQ1FiY2ZXVjNySTd6clhFV0k0OGNobmg2b3YxMXBMYUxBRHFLd3E4ajNQU3lVdVZhWFNYdzV5bkxqRXpsbWNtc1EwWEFzQUdseTc0ZEVxWk9iSVZOZWpjTDFUT0RsVGROU1JTcVhMaHdGQkc4eF93aDNjVW4xUU1JOXFwZ1gyVXV1eHU3N0xGM1ZtM1NjQU5SeUVrV2V1MVdiRko0N3Q3Rm1zdFRNdWFGSG9wcG1tQTBqWlk1eUUxODhXS3dqclZPSjF2SHJ30gHkAUFVX3lxTE1VNVVyTm8zYjdRa0gzZXRNdHAtYnY3bVFZNFY2OGY3QTE3RFJmUS1KdVBqdmhQOG1md0RqVDZ3c1lwVDJfZnIxSl9sYlU2ZFZXVmxKMktvd0lLS3JhMVc2QmpGOHBNOF9RZE42WGlqWmhuMnQ2R0VsQ2dhUHJSTnVHd2FUVzBWRnV1ckNoNDdHdDZlLU5RN0l1OVI2ZFhJaFAtWDRHN3JpTXpkSjBSVXp3cy1BVFBabUNZRXhlZEtVMDYwNDhiS2tFRTIyWUFjYUlxSm1JVjRUVE12dERuWlpkNnhfdA?oc=5,2026-02-03
Gen Z vs toxic boss: WhatsApp chat over 6:30 am office demand for virtual meeting goes viral Moneycontrol.,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPc2luVXJLbktHRzU0MHNjLVlhQ1FiY2ZXVjNySTd6clhFV0k0OGNobmg2b3YxMXBMYUxBRHFLd3E4ajNQU3lVdVZhWFNYdzV5bkxqRXpsbWNtc1EwWEFzQUdseTc0ZEVxWk9iSVZOZWpjTDFUT0RsVGROU1JTcVhMaHdGQkc4eF93aDNjVW4xUU1JOXFwZ1gyVXV1eHU3N0xGM1ZtM1NjQU5SeUVrV2V1MVdiRko0N3Q3Rm1zdFRNdWFGSG9wcG1tQTBqWlk1eUUxODhXS3dqclZPSjF2SHJ30gHkAUFVX3lxTE1VNVVyTm8zYjdRa0gzZXRNdHAtYnY3bVFZNFY2OGY3QTE3RFJmUS1KdVBqdmhQOG1md0RqVDZ3c1lwVDJfZnIxSl9sYlU2ZFZXVmxKMktvd0lLS3JhMVc2QmpGOHBNOF9RZE42WGlqWmhuMnQ2R0VsQ2dhUHJSTnVHd2FUVzBWRnV1ckNoNDdHdDZlLU5RN0l1OVI2ZFhJaFAtWDRHN3JpTXpkSjBSVXp3cy1BVFBabUNZRXhlZEtVMDYwNDhiS2tFRTIyWUFjYUlxSm1JVjRUVE12dERuWlpkNnhfdA?oc=5,2026-02-03
"Shark Tank India judge Anupam Mittal’s career advice for Gen Z: ‘If you’re not feeling it, move’ - Times of India.",https://news.google.com/rss/articles/CBMigwJBVV95cUxPdTlvYTctVVBXaGdETDBLcDJmOHdBSlFjbWVhR2hxdmhqODYzVDFVX01qRENaY2RWRFgyUXdYVG0yNF9HVUktWTdweXV0SDNPUjZSRThBOWZ1SGJhM0JWNndaZHdhbHlxbDJZZEFfRDh5blVPeVZDY0pwUmVRbWhyMlRhX2ZqbmNJZTlUT01oSTZGMjlTejdwOEU0REdnOERZUTA4alVlaTFoaHFZZ2ZoTFBPblNLQlZoejNqOURLdUNzVnNrWGZTQjhkc253VUlFRDJGY1IxTlJ2bkl5NFpsMlA2V01HMG4zQWFDMnhFdndnYmtocmJrWDJkcVBQRExIU3hv0gGIAkFVX3lxTE1zb0VtVXltS056b3VjaUFPelR5cEU2TnhURHR6S0Y3aU5sOUd0eC1GM3l2d3p4aFpKaV9wa3Z5MHlJeFJCRVpTNUFmSXRsQUx5TVV6MU1PS3JDeGxtZWNQWC0tZ0s0VHJVaHdMaHc4N3pHR3lVczZWNnRIdEM5N2Z4WEJyTjRWN0JJTC1Xc1dQaFhwa21UQ2lrR29xRlRhN1Yzbm5wWU9RUHpzd2RfQzNNUXhhdjk4dHBpX1k3Qi02NE5Sc3lxdy15NEYwdm9kZ054RWxmRmdqdnZBSHFMZWE3RGQyODBhcHlQRUNpcDgwUFdtVU5UbDg2NjdlN2xmMXdpYkZhZzk0eQ?oc=5,2026-02-03
